Date,Open,High,Low,Close,Adj Close,Volume
9/24/2018,50.810001,51.599998,50.709999,51.240002,47.192463,23906100
9/25/2018,51.389999,51.93,50.970001,51.720001,47.634544,18665800
9/26/2018,51.75,52.110001,51.560001,51.630001,47.551655,18131000
9/27/2018,51.560001,52.02,51.330002,51.689999,47.606903,17993500
9/28/2018,51.540001,52.009998,51.490002,51.560001,47.487171,16234200
10/1/2018,51.220001,51.990002,51.139999,51.799999,47.708225,19217800
10/2/2018,51.650002,51.799999,50.130001,50.23,46.262234,22406800
10/3/2018,49.59,50.099998,49.59,49.75,45.82016,21207600
10/4/2018,49.68,49.779999,49.169998,49.470001,45.562275,19034000
10/5/2018,49.419998,49.77,49.119999,49.349998,45.451756,16900200
10/8/2018,49.27,49.639999,48.900002,49.360001,45.460964,16295800
10/9/2018,49.110001,49.400002,48.830002,48.869999,45.009663,19009800
10/10/2018,48.810001,48.98,47.369999,47.400002,43.655785,20885400
10/11/2018,47.330002,47.889999,46.490002,46.779999,43.084755,26387600
10/12/2018,47.400002,47.75,46.66,47.380001,43.637367,23152800
10/15/2018,46.959999,47.619999,46.869999,47.119999,43.572632,15693400
10/16/2018,47.57,48.419998,47.470001,48.23,44.599068,13600200
10/17/2018,47.43,48.240002,47.43,47.860001,44.256927,15071100
10/18/2018,47.57,48.139999,47.130001,47.380001,43.813068,15084800
10/19/2018,47.5,48.240002,47.349998,47.59,44.007252,17768400
10/22/2018,47.849998,48.490002,47.709999,47.939999,44.330902,16480200
10/23/2018,47.16,48.32,47.119999,47.990002,44.377144,18921500
10/24/2018,47.880001,48.299999,46.700001,46.759998,43.239742,20028200
10/25/2018,47.419998,48.290001,47.279999,47.959999,44.349396,19349300
10/26/2018,47.240002,48.07,46.709999,47.32,43.757584,23088700
10/29/2018,47.810001,48.09,46.34,47.02,43.480167,19248700
10/30/2018,47.080002,48.619999,46.919998,48.57,44.913479,24438200
10/31/2018,49.049999,49.450001,48.59,48.84,45.163147,21082900
11/1/2018,48.959999,49.240002,48.34,48.59,44.931973,17764900
11/2/2018,48.93,49.02,48.240002,48.830002,45.153904,17289300
11/5/2018,49,49.130001,48.5,49.02,45.329605,13125800
11/6/2018,49.099998,49.470001,48.830002,49.25,45.542274,12362700
11/7/2018,49.580002,50.5,49.470001,50.259998,46.47625,14329800
11/8/2018,50.220001,50.5,50.07,50.43,46.63345,11966600
11/9/2018,50.419998,50.82,50.310001,50.610001,46.7999,15316100
11/12/2018,50.169998,50.380001,49.110001,49.220001,45.514545,14374400
11/13/2018,49.470001,50,49.240002,49.509998,45.782703,13550600
11/14/2018,49.970001,49.970001,48.740002,48.84,45.163147,16094000
11/15/2018,50.040001,50.689999,49.049999,50.630001,46.81839,24922800
11/16/2018,50.529999,51.450001,50.419998,51.169998,47.31773,20929600
